fecha,ciudad,producto,categoria,unidades,precio_unitario,descuento_pct,ventas,costo_total,satisfaccion
2025-11-14,Lima,Monitor,Tecnología,9,850.83,10,6891.72,5603.33,4.8
2025-11-15,Lima,Mouse,Accesorios,5,96.23,0,481.15,265.7,4.7
2025-11-16,Lima,Audífonos,Audio,14,230.88,15,2747.47,1863.16,4.0
2025-11-17,Lima,Monitor,Tecnología,7,841.76,0,5892.32,4197.71,4.3
2025-11-18,Trujillo,Laptop,Tecnología,6,3295.98,10,17798.29,14869.36,3.8
2025-11-19,Trujillo,Audífonos,Audio,8,241.74,10,1740.53,1066.41,3.8
2025-11-20,Arequipa,Mouse,Accesorios,9,91.56,15,700.43,481.95,5.0
2025-11-21,Arequipa,Laptop,Tecnología,8,3222.67,0,25781.36,19768.79,3.9
2025-11-22,Lima,Laptop,Tecnología,6,3193.85,0,19163.1,15062.27,3.8
2025-11-23,Cusco,Teclado,Accesorios,11,174.09,0,1914.99,1175.04,5.0
2025-11-24,Trujillo,Monitor,Tecnología,5,878.45,10,3953.03,3138.3,4.8
2025-11-25,Trujillo,Teclado,Accesorios,6,175.49,10,947.65,635.67,3.4
2025-11-26,Trujillo,Audífonos,Audio,4,247.04,0,988.16,549.39,4.5
2025-11-27,Lima,Mouse,Accesorios,5,97.01,0,485.05,255.47,4.7
2025-11-28,Lima,Mouse,Accesorios,10,94.13,10,847.17,522.83,4.3
2025-11-29,Lima,Parlante,Audio,11,312.57,0,3438.27,2077.47,4.3
2025-11-30,Trujillo,Monitor,Tecnología,7,860.91,15,5122.41,4196.82,4.6
2025-12-01,Lima,Monitor,Tecnología,7,839.82,15,4996.93,4158.49,3.3
2025-12-02,Lima,Mouse,Accesorios,4,93.67,15,318.48,202.7,4.7
2025-12-03,Arequipa,Mouse,Accesorios,11,91.43,0,1005.73,555.65,4.1
2025-12-04,Lima,Mouse,Accesorios,10,96.65,5,918.17,505.85,4.4
2025-12-05,Trujillo,Laptop,Tecnología,4,3281.09,10,11811.92,9688.55,4.7
2025-12-06,Cusco,Parlante,Audio,5,309.22,10,1391.49,927.09,3.0
2025-12-07,Lima,Audífonos,Audio,4,242.95,10,874.62,543.92,4.7
2025-12-08,Trujillo,Audífonos,Audio,9,236.94,0,2132.46,1223.18,4.3
2025-12-09,Arequipa,Laptop,Tecnología,2,3171.02,15,5390.73,4840.89,4.0
2025-12-10,Cusco,Teclado,Accesorios,5,180.99,10,814.46,531.81,3.9
2025-12-11,Trujillo,Laptop,Tecnología,5,3278.86,0,16394.3,12346.75,4.7
2025-12-12,Lima,Teclado,Accesorios,8,181.61,0,1452.88,855.62,5.0
2025-12-13,Lima,Monitor,Tecnología,10,824.84,20,6598.72,6101.3,3.8
2025-12-14,Arequipa,Laptop,Tecnología,10,3187.03,10,28683.27,24124.01,4.0
2025-12-15,Lima,Parlante,Audio,10,319.44,0,3194.4,1885.35,4.1
2025-12-16,Trujillo,Monitor,Tecnología,7,845.2,5,5620.58,4397.72,4.1
2025-12-17,Arequipa,Mouse,Accesorios,9,96.92,15,741.44,455.13,3.7
2025-12-18,Arequipa,Monitor,Tecnología,8,845.91,5,6428.92,5013.19,3.9
2025-12-19,Arequipa,Teclado,Accesorios,6,175.03,15,892.65,631.38,5.0
2025-12-20,Lima,Mouse,Accesorios,10,96.82,0,968.2,509.66,3.9
2025-12-21,Lima,Monitor,Tecnología,8,869.79,10,6262.49,4919.9,3.5
2025-12-22,Lima,Parlante,Audio,6,317.58,5,1810.21,1168.71,3.9
2025-12-23,Arequipa,Teclado,Accesorios,4,176.59,10,635.72,408.2,3.7
2025-12-24,Arequipa,Teclado,Accesorios,8,182.72,0,1461.76,851.07,4.8
2025-12-25,Lima,Teclado,Accesorios,12,175.94,15,1794.59,1283.0,3.7
2025-12-26,Arequipa,Audífonos,Audio,10,234.53,5,2228.03,1341.91,4.2
